Bytes,FAV,Entropy,Chi2
0,0,0.00,0.00
64,100,0.6535947712,0.6535947712
128,100,1.045751634,1.176470588
192,100,2.091503268,2.483660131
256,100,1.830065359,2.222222222
320,100,1.960784314,2.352941176
384,100,3.267973856,3.660130719
448,100,2.875816993,3.921568627
512,100,4.705882353,4.705882353
