Bytes,FAV,Entropy,Chi2
0,0,0.00,0.00
64,100,2.22,2.22
128,100,2.22,2.22
192,100,11.11,11.11
256,100,11.11,2.22
320,100,11.11,8.89
384,100,8.89,6.67
448,100,15.56,11.11
512,100,13.33,11.11
