Bytes,FAV,Entropy,Chi2
0,0,0.00,0.00
64,100,0.283286119,0
128,100,0,0
192,100,0.283286119,0.8498583569
256,100,0.566572238,0.566572238
320,100,0.566572238,0.566572238
384,100,0,0.283286119
448,100,0.283286119,0.8498583569
512,100,0.8498583569,1.416430595
