Skip,FAV,Entropy,Chi2
0,0,0,0
128,0,0,0
256,0,44.28571429,37.14285714
384,0,79.28571429,43.57142857
512,0,99.28571429,54.28571429
640,0,99.28571429,60.71428571
768,0,100,83.57142857
896,0,100,96.42857143
1024,0,100,94.28571429
