Bytes,FAV,Entropy,Chi2
0,0,0,0
64,0,100,98.57142857
128,0,99.28571429,54.28571429
192,0,82.14285714,43.57142857
256,0,44.28571429,37.14285714
320,0,40,32.14285714
384,0,31.42857143,27.85714286
448,0,1.428571429,25
512,0,0,0
